"","x"
"1","Agricultural Demand"
"2","Agricultural Demand|Crops"
"3","Agricultural Demand|Crops|Energy"
"4","Agricultural Demand|Crops|Feed"
"5","Agricultural Demand|Crops|Food"
"6","Agricultural Demand|Crops|Other"
"7","Agricultural Demand|Livestock"
"8","Agricultural Demand|Livestock|Food"
"9","Agricultural Demand|Livestock|Other"
"10","Agricultural Production"
"11","Capacity Additions|Electricity|Biomass"
"12","Capacity Additions|Electricity|Biomass|w/ CCS"
"13","Capacity Additions|Electricity|Biomass|w/o CCS"
"14","Capacity Additions|Electricity|Coal"
"15","Capacity Additions|Electricity|Coal|w/ CCS"
"16","Capacity Additions|Electricity|Coal|w/o CCS"
"17","Capacity Additions|Electricity|Gas"
"18","Capacity Additions|Electricity|Gas|w/ CCS"
"19","Capacity Additions|Electricity|Gas|w/o CCS"
"20","Capacity Additions|Electricity|Geothermal"
"21","Capacity Additions|Electricity|Nuclear"
"22","Capacity Additions|Electricity|Oil"
"23","Capacity Additions|Electricity|Oil|w/ CCS"
"24","Capacity Additions|Electricity|Oil|w/o CCS"
"25","Capacity Additions|Electricity|Solar"
"26","Capacity Additions|Electricity|Solar|CSP"
"27","Capacity Additions|Electricity|Solar|PV"
"28","Capacity Additions|Electricity|Wind"
"29","Capacity Additions|Electricity|Wind|Offshore"
"30","Capacity Additions|Electricity|Wind|Onshore"
"31","Capacity|Electricity"
"32","Capacity|Electricity|Biomass"
"33","Capacity|Electricity|Biomass|w/ CCS"
"34","Capacity|Electricity|Biomass|w/o CCS"
"35","Capacity|Electricity|Coal"
"36","Capacity|Electricity|Coal|w/ CCS"
"37","Capacity|Electricity|Coal|w/o CCS"
"38","Capacity|Electricity|Gas"
"39","Capacity|Electricity|Gas|w/ CCS"
"40","Capacity|Electricity|Gas|w/o CCS"
"41","Capacity|Electricity|Geothermal"
"42","Capacity|Electricity|Hydro"
"43","Capacity|Electricity|Nuclear"
"44","Capacity|Electricity|Oil"
"45","Capacity|Electricity|Oil|w/ CCS"
"46","Capacity|Electricity|Oil|w/o CCS"
"47","Capacity|Electricity|Solar"
"48","Capacity|Electricity|Solar|CSP"
"49","Capacity|Electricity|Solar|PV"
"50","Capacity|Electricity|Wind"
"51","Capacity|Electricity|Wind|Offshore"
"52","Capacity|Electricity|Wind|Onshore"
"53","Capital Cost|Electricity|Biomass|w/ CCS"
"54","Capital Cost|Electricity|Biomass|w/o CCS"
"55","Capital Cost|Electricity|Coal|w/ CCS"
"56","Capital Cost|Electricity|Coal|w/o CCS"
"57","Capital Cost|Electricity|Gas|w/ CCS"
"58","Capital Cost|Electricity|Gas|w/o CCS"
"59","Capital Cost|Electricity|Geothermal"
"60","Capital Cost|Electricity|Nuclear"
"61","Capital Cost|Electricity|Solar|CSP"
"62","Capital Cost|Electricity|Solar|PV"
"63","Capital Cost|Electricity|Wind|Offshore"
"64","Capital Cost|Electricity|Wind|Onshore"
"65","Carbon Sequestration|CCS"
"66","Carbon Sequestration|CCS|Biomass"
"67","Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry"
"68","Carbon Sequestration|CCS|Biomass|Energy|Supply"
"69","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity"
"70","Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen"
"71","Carbon Sequestration|CCS|Biomass|Energy|Supply|Liquids"
"72","Carbon Sequestration|CCS|Fossil"
"73","Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry"
"74","Carbon Sequestration|CCS|Fossil|Energy|Supply"
"75","Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity"
"76","Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen"
"77","Carbon Sequestration|CCS|Fossil|Energy|Supply|Liquids"
"78","Carbon Sequestration|CCS|Industrial Processes"
"79","Carbon Sequestration|DAC"
"80","Concentration|CO2"
"81","Emissions|BC"
"82","Emissions|BC|AFOLU"
"83","Emissions|BC|Energy"
"84","Emissions|BC|Energy|Demand|Industry"
"85","Emissions|BC|Energy|Demand|Building"
"86","Emissions|BC|Energy|Demand|Transportation"
"87","Emissions|BC|Energy|Supply"
"88","Emissions|C2F6"
"89","Emissions|CF4"
"90","Emissions|CH4"
"91","Emissions|CH4|AFOLU"
"92","Emissions|CH4|Energy"
"93","Emissions|CH4|Energy|Demand|Industry"
"94","Emissions|CH4|Energy|Demand|Building"
"95","Emissions|CH4|Energy|Demand|Transportation"
"96","Emissions|CH4|Energy|Supply"
"97","Emissions|CH4|Other"
"98","Emissions|CO"
"99","Emissions|CO|AFOLU"
"100","Emissions|CO|Energy"
"101","Emissions|CO|Energy|Demand|Industry"
"102","Emissions|CO|Energy|Demand|Building"
"103","Emissions|CO|Energy|Demand|Transportation"
"104","Emissions|CO|Energy|Supply"
"105","Emissions|CO2"
"106","Emissions|CO2|AFOLU"
"107","Emissions|CO2|Energy"
"108","Emissions|CO2|Energy and Industrial Processes"
"109","Emissions|CO2|Energy|Demand"
"110","Emissions|CO2|Energy|Demand|AFOFI"
"111","Emissions|CO2|Energy|Demand|Industry"
"112","Emissions|CO2|Energy|Demand|Industry|Cement"
"113","Emissions|CO2|Energy|Demand|Industry|Chemicals"
"114","Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia"
"115","Emissions|CO2|Energy|Demand|Industry|Non-ferrous metals"
"116","Emissions|CO2|Energy|Demand|Industry|Other"
"117","Emissions|CO2|Energy|Demand|Industry|Steel"
"118","Emissions|CO2|Energy|Demand|Building"
"119","Emissions|CO2|Energy|Demand|Building|Commercial"
"120","Emissions|CO2|Energy|Demand|Building|Residential"
"121","Emissions|CO2|Energy|Demand|Transportation"
"122","Emissions|CO2|Energy|Demand|Transportation|Freight"
"123","Emissions|CO2|Energy|Demand|Transportation|Passenger"
"124","Emissions|CO2|Energy|Supply"
"125","Emissions|CO2|Energy|Supply|Electricity"
"126","Emissions|CO2|Energy|Supply|Gases"
"127","Emissions|CO2|Energy|Supply|Heat"
"128","Emissions|CO2|Energy|Supply|Liquids"
"129","Emissions|CO2|Energy|Supply|Solids"
"130","Emissions|CO2|Industrial Processes"
"131","Emissions|CO2International|InternationalShipping"
"132","Emissions|CO2International|InternationalAviation"
"133","Emissions|CO2|Other"
"134","Emissions|CO2|Other|DACCS"
"135","Emissions|F-Gases"
"136","Emissions|HFC"
"137","Emissions|HFC|HFC125"
"138","Emissions|HFC|HFC134a"
"139","Emissions|HFC|HFC143a"
"140","Emissions|HFC|HFC227ea"
"141","Emissions|HFC|HFC23"
"142","Emissions|HFC|HFC245fa"
"143","Emissions|HFC|HFC32"
"144","Emissions|Kyoto Gases"
"145","Emissions|Kyoto Gases|AFOLU"
"146","Emissions|Kyoto Gases|Buildings"
"147","Emissions|Kyoto Gases|Electricity"
"148","Emissions|Kyoto Gases|Industry"
"149","Emissions|Kyoto Gases|Industry|Cement"
"150","Emissions|Kyoto Gases|Industry|Chemicals"
"151","Emissions|Kyoto Gases|Industry|Steel"
"152","Emissions|Kyoto Gases|Industry|Non-ferrous Metals"
"153","Emissions|Kyoto Gases|Industry|Other Industry"
"154","Emissions|Kyoto Gases|Other Energy Supply"
"155","Emissions|Kyoto Gases|Supply"
"156","Emissions|Kyoto Gases|Transportation"
"157","Emissions|Kyoto Gases|Other"
"158","Emissions|N2O"
"159","Emissions|N2O|AFOLU"
"160","Emissions|N2O|Energy"
"161","Emissions|N2O|Other"
"162","Emissions|NH3"
"163","Emissions|NH3|AFOLU"
"164","Emissions|NH3|Energy"
"165","Emissions|NH3|Energy|Demand|Industry"
"166","Emissions|NH3|Energy|Demand|Building"
"167","Emissions|NH3|Energy|Demand|Transportation"
"168","Emissions|NH3|Energy|Supply"
"169","Emissions|NOx"
"170","Emissions|NOx|AFOLU"
"171","Emissions|NOx|Energy"
"172","Emissions|NOx|Energy|Demand|Industry"
"173","Emissions|NOx|Energy|Demand|Building"
"174","Emissions|NOx|Energy|Demand|Transportation"
"175","Emissions|NOx|Energy|Supply"
"176","Emissions|OC"
"177","Emissions|OC|AFOLU"
"178","Emissions|OC|Energy"
"179","Emissions|OC|Energy|Demand|Industry"
"180","Emissions|OC|Energy|Demand|Building"
"181","Emissions|OC|Energy|Demand|Transportation"
