"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"GCAM 7.0","NZ_Electricity_Nuc_Policy","South Korea","GDP|MER","billion US$2010/yr",894.708179649,1094.498856558,1268.780018751,1457.492520384,1681.7361318,1906.52849793,2107.08167103,2282.31936423,2436.21322767,2565.82242117,2682.18267489,2766.33011736,2832.78704184,2899.51682778,2952.17908956,3002.52202893,3046.60431369,3082.30368804,3110.27198769,3132.51019668
"GCAM 7.0","NZ_Electricity_Nuc_Policy","World","GDP|MER","billion US$2010/yr",894.708179649,1094.498856558,1268.780018751,1457.492520384,1681.7361318,1906.52849793,2107.08167103,2282.31936423,2436.21322767,2565.82242117,2682.18267489,2766.33011736,2832.78704184,2899.51682778,2952.17908956,3002.52202893,3046.60431369,3082.30368804,3110.27198769,3132.51019668
"GCAM 7.0","Reference","South Korea","GDP|MER","billion US$2010/yr",894.708179649,1094.498856558,1268.780018751,1457.492520384,1681.7361318,1906.52849793,2107.08167103,2282.31936423,2436.21322767,2565.82242117,2682.18267489,2766.33011736,2832.78704184,2899.51682778,2952.17908956,3002.52202893,3046.60431369,3082.30368804,3110.27198769,3132.51019668
"GCAM 7.0","Reference","World","GDP|MER","billion US$2010/yr",894.708179649,1094.498856558,1268.780018751,1457.492520384,1681.7361318,1906.52849793,2107.08167103,2282.31936423,2436.21322767,2565.82242117,2682.18267489,2766.33011736,2832.78704184,2899.51682778,2952.17908956,3002.52202893,3046.60431369,3082.30368804,3110.27198769,3132.51019668
"GCAM 7.0","NZ_Electricity_Nuc_Policy","South Korea","GDP|PPP","billion US$2010/yr",1308.56350958882,1600.76916424342,1855.66564830592,2107.26039631579,2395.80039078947,2677.72543845395,2914.70615245066,3111.24478011513,3272.07331672697,3391.72318578947,3491.63634404605,3542.49727539474,3570.67210776316,3596.51432575658,3599.21209973684,3600.24939266447,3588.48069597039,3568.58696111842,3534.99048345395,3497.31375
"GCAM 7.0","NZ_Electricity_Nuc_Policy","World","GDP|PPP","billion US$2010/yr",1308.56350958882,1600.76916424342,1855.66564830592,2107.26039631579,2395.80039078947,2677.72543845395,2914.70615245066,3111.24478011513,3272.07331672697,3391.72318578947,3491.63634404605,3542.49727539474,3570.67210776316,3596.51432575658,3599.21209973684,3600.24939266447,3588.48069597039,3568.58696111842,3534.99048345395,3497.31375
"GCAM 7.0","Reference","South Korea","GDP|PPP","billion US$2010/yr",1308.56350958882,1600.76916424342,1855.66564830592,2107.26039631579,2395.80039078947,2677.72543845395,2914.70615245066,3111.24478011513,3272.07331672697,3391.72318578947,3491.63634404605,3542.49727539474,3570.67210776316,3596.51432575658,3599.21209973684,3600.24939266447,3588.48069597039,3568.58696111842,3534.99048345395,3497.31375
"GCAM 7.0","Reference","World","GDP|PPP","billion US$2010/yr",1308.56350958882,1600.76916424342,1855.66564830592,2107.26039631579,2395.80039078947,2677.72543845395,2914.70615245066,3111.24478011513,3272.07331672697,3391.72318578947,3491.63634404605,3542.49727539474,3570.67210776316,3596.51432575658,3599.21209973684,3600.24939266447,3588.48069597039,3568.58696111842,3534.99048345395,3497.31375
"GCAM 7.0","NZ_Electricity_Nuc_Policy","South Korea","Population","million",48.701,49.546,50.823,51.313,51.586,51.607,51.276,50.536,49.424,47.994,46.346,44.588,42.769,40.936,39.131,37.385,35.718,34.143,32.668,31.222
"GCAM 7.0","NZ_Electricity_Nuc_Policy","World","Population","million",48.701,49.546,50.823,51.313,51.586,51.607,51.276,50.536,49.424,47.994,46.346,44.588,42.769,40.936,39.131,37.385,35.718,34.143,32.668,31.222
"GCAM 7.0","Reference","South Korea","Population","million",48.701,49.546,50.823,51.313,51.586,51.607,51.276,50.536,49.424,47.994,46.346,44.588,42.769,40.936,39.131,37.385,35.718,34.143,32.668,31.222
"GCAM 7.0","Reference","World","Population","million",48.701,49.546,50.823,51.313,51.586,51.607,51.276,50.536,49.424,47.994,46.346,44.588,42.769,40.936,39.131,37.385,35.718,34.143,32.668,31.222
