USD-KRW conversion ratio,,,,
year,def_2017_to_2015,exchange_rate_2015,billionUSD_trillionKRW ,conversion_ratio_2015triKRW
1975,0.971817298,1130.953,1000,1.099079689
1990,0.971817298,1130.953,1000,1.099079689
2005,0.971817298,1130.953,1000,1.099079689
2010,0.971817298,1130.953,1000,1.099079689
2015,0.971817298,1130.953,1000,1.099079689
2020,0.971817298,1130.953,1000,1.099079689
2025,0.971817298,1130.953,1000,1.099079689
2030,0.971817298,1130.953,1000,1.099079689
2035,0.971817298,1130.953,1000,1.099079689
2040,0.971817298,1130.953,1000,1.099079689
2045,0.971817298,1130.953,1000,1.099079689
2050,0.971817298,1130.953,1000,1.099079689
2055,0.971817298,1130.953,1000,1.099079689
2060,0.971817298,1130.953,1000,1.099079689
2065,0.971817298,1130.953,1000,1.099079689
2070,0.971817298,1130.953,1000,1.099079689
2075,0.971817298,1130.953,1000,1.099079689
2080,0.971817298,1130.953,1000,1.099079689
2085,0.971817298,1130.953,1000,1.099079689
2090,0.971817298,1130.953,1000,1.099079689
2095,0.971817298,1130.953,1000,1.099079689
2100,0.971817298,1130.953,1000,1.099079689
