# File: PPP-MER-KOR.csv,
# Title: PPP-MER conversion ratio (= PPP/MER),
# Units: PPP/MER index,
# Description: Korea specific PPP-MER conversion rate,
# Source: world bank history interpolation by KAIST,
# Column types: n,
# ----------,
year,conversion_ratio
1975,1.310 
1990,1.310 
2005,1.310 
2010,1.310 
2015,1.310 
2020,1.295 
2025,1.276 
2030,1.258 
2035,1.239 
2040,1.221 
2045,1.203 
2050,1.184 
2055,1.166 
2060,1.147 
2065,1.129 
2070,1.111 
2075,1.092 
2080,1.074 
2085,1.055 
2090,1.037 
2095,1.018 
2100,1.000 
